# Vehicle speed
#
# - This is the mean for all vehicles of all technologies in the given
#   mode.
# - The code that handles this file interpolates on the ‘year’
#   dimension.
#
# Source: Schäefer et al. (2010)
#
# Unit: km / hour
#
scenario,    node,     technology, year, value
SSP(2017).2, R12_NAM,  RAIL,       2110,  35
SSP(2017).2, R12_PAO,  LDV,        2020,  54.5
SSP(2017).2, R12_PAO,  LDV,        2110,  54.5
SSP(2017).2, R12_PAO,  2W,         2020,  31
SSP(2017).2, R12_PAO,  2W,         2110,  31
SSP(2017).2, R12_PAO,  AIR,        2020, 270
SSP(2017).2, R12_PAO,  AIR,        2110, 270
SSP(2017).2, R12_PAO,  BUS,        2020,  19
SSP(2017).2, R12_PAO,  BUS,        2110,  19
SSP(2017).2, R12_PAO,  RAIL,       2020,  35
SSP(2017).2, R12_PAO,  RAIL,       2110,  35
SSP(2017).2, R12_PAS,  LDV,        2020,  54.5
SSP(2017).2, R12_PAS,  LDV,        2110,  54.5
SSP(2017).2, R12_PAS,  2W,         2020,  31
SSP(2017).2, R12_PAS,  2W,         2110,  31
SSP(2017).2, R12_PAS,  AIR,        2020, 270
SSP(2017).2, R12_PAS,  AIR,        2110, 270
SSP(2017).2, R12_PAS,  BUS,        2020,  19
SSP(2017).2, R12_PAS,  BUS,        2110,  19
SSP(2017).2, R12_PAS,  RAIL,       2020,  35
SSP(2017).2, R12_PAS,  RAIL,       2110,  35
SSP(2017).2, R12_RCPA, LDV,        2020,  54.5
SSP(2017).2, R12_RCPA, LDV,        2110,  54.5
SSP(2017).2, R12_RCPA, 2W,         2020,  31
SSP(2017).2, R12_RCPA, 2W,         2110,  31
SSP(2017).2, R12_RCPA, AIR,        2020, 270
SSP(2017).2, R12_RCPA, AIR,        2110, 270
SSP(2017).2, R12_RCPA, BUS,        2020,  19
SSP(2017).2, R12_RCPA, BUS,        2110,  19
SSP(2017).2, R12_RCPA, RAIL,       2020,  35
SSP(2017).2, R12_RCPA, RAIL,       2110,  35
SSP(2017).2, R12_SAS,  LDV,        2020,  54.5
SSP(2017).2, R12_SAS,  LDV,        2110,  54.5
SSP(2017).2, R12_SAS,  2W,         2020,  31
SSP(2017).2, R12_SAS,  2W,         2110,  31
SSP(2017).2, R12_SAS,  AIR,        2020, 270
SSP(2017).2, R12_SAS,  AIR,        2110, 270
SSP(2017).2, R12_SAS,  BUS,        2020,  19
SSP(2017).2, R12_SAS,  BUS,        2110,  19
SSP(2017).2, R12_SAS,  RAIL,       2020,  35
SSP(2017).2, R12_SAS,  RAIL,       2110,  35
SSP(2017).2, R12_WEU,  LDV,        2020,  54.5
SSP(2017).2, R12_WEU,  LDV,        2110,  54.5
SSP(2017).2, R12_WEU,  2W,         2020,  31
SSP(2017).2, R12_WEU,  2W,         2110,  31
SSP(2017).2, R12_WEU,  AIR,        2020, 270
SSP(2017).2, R12_WEU,  AIR,        2110, 270
SSP(2017).2, R12_WEU,  BUS,        2020,  19
SSP(2017).2, R12_WEU,  BUS,        2110,  19
SSP(2017).2, R12_WEU,  RAIL,       2020,  35
SSP(2017).2, R12_WEU,  RAIL,       2110,  35

SSP(2024).1, R12_AFR,  LDV,        2020,  54.5
SSP(2024).1, R12_AFR,  LDV,        2110,  70
SSP(2024).1, R12_AFR,  2W,         2020,  31
SSP(2024).1, R12_AFR,  2W,         2110,  31
SSP(2024).1, R12_AFR,  AIR,        2020, 270
SSP(2024).1, R12_AFR,  AIR,        2110, 200
SSP(2024).1, R12_AFR,  BUS,        2020,  19
SSP(2024).1, R12_AFR,  BUS,        2110,  42
SSP(2024).1, R12_AFR,  RAIL,       2020,  35
SSP(2024).1, R12_AFR,  RAIL,       2110,  81
SSP(2024).1, R12_CHN,  LDV,        2020,  54.5
SSP(2024).1, R12_CHN,  LDV,        2110,  70
SSP(2024).1, R12_CHN,  2W,         2020,  31
SSP(2024).1, R12_CHN,  2W,         2110,  31
SSP(2024).1, R12_CHN,  AIR,        2020, 270
SSP(2024).1, R12_CHN,  AIR,        2110, 200
SSP(2024).1, R12_CHN,  BUS,        2020,  19
SSP(2024).1, R12_CHN,  BUS,        2110,  42
SSP(2024).1, R12_CHN,  RAIL,       2020,  35
SSP(2024).1, R12_CHN,  RAIL,       2110,  81
SSP(2024).1, R12_EEU,  LDV,        2020,  54.5
SSP(2024).1, R12_EEU,  LDV,        2110,  70
SSP(2024).1, R12_EEU,  2W,         2020,  31
SSP(2024).1, R12_EEU,  2W,         2110,  31
SSP(2024).1, R12_EEU,  AIR,        2020, 270
SSP(2024).1, R12_EEU,  AIR,        2110, 200
SSP(2024).1, R12_EEU,  BUS,        2020,  19
SSP(2024).1, R12_EEU,  BUS,        2110,  42
SSP(2024).1, R12_EEU,  RAIL,       2020,  35
SSP(2024).1, R12_EEU,  RAIL,       2110,  81
SSP(2024).1, R12_FSU,  LDV,        2020,  54.5
SSP(2024).1, R12_FSU,  LDV,        2110,  70
SSP(2024).1, R12_FSU,  2W,         2020,  31
SSP(2024).1, R12_FSU,  2W,         2110,  31
SSP(2024).1, R12_FSU,  AIR,        2020, 270
SSP(2024).1, R12_FSU,  AIR,        2110, 200
SSP(2024).1, R12_FSU,  BUS,        2020,  19
SSP(2024).1, R12_FSU,  BUS,        2110,  42
SSP(2024).1, R12_FSU,  RAIL,       2020,  35
SSP(2024).1, R12_FSU,  RAIL,       2110,  81
SSP(2024).1, R12_LAM,  LDV,        2020,  54.5
SSP(2024).1, R12_LAM,  LDV,        2110,  70
SSP(2024).1, R12_LAM,  2W,         2020,  31
SSP(2024).1, R12_LAM,  2W,         2110,  31
SSP(2024).1, R12_LAM,  AIR,        2020, 270
SSP(2024).1, R12_LAM,  AIR,        2110, 200
SSP(2024).1, R12_LAM,  BUS,        2020,  19
SSP(2024).1, R12_LAM,  BUS,        2110,  42
SSP(2024).1, R12_LAM,  RAIL,       2020,  35
SSP(2024).1, R12_LAM,  RAIL,       2110,  81
SSP(2024).1, R12_MEA,  LDV,        2020,  54.5
SSP(2024).1, R12_MEA,  LDV,        2110,  70
SSP(2024).1, R12_MEA,  2W,         2020,  31
SSP(2024).1, R12_MEA,  2W,         2110,  31
SSP(2024).1, R12_MEA,  AIR,        2020, 270
SSP(2024).1, R12_MEA,  AIR,        2110, 200
SSP(2024).1, R12_MEA,  BUS,        2020,  19
SSP(2024).1, R12_MEA,  BUS,        2110,  42
SSP(2024).1, R12_MEA,  RAIL,       2020,  35
SSP(2024).1, R12_MEA,  RAIL,       2110,  81
SSP(2024).1, R12_NAM,  LDV,        2020,  54.5
SSP(2024).1, R12_NAM,  LDV,        2110,  70
SSP(2024).1, R12_NAM,  2W,         2020,  31
SSP(2024).1, R12_NAM,  2W,         2110,  31
SSP(2024).1, R12_NAM,  AIR,        2020, 270
SSP(2024).1, R12_NAM,  AIR,        2110, 200
SSP(2024).1, R12_NAM,  BUS,        2020,  19
SSP(2024).1, R12_NAM,  BUS,        2110,  42
SSP(2024).1, R12_NAM,  RAIL,       2020,  35
SSP(2024).1, R12_NAM,  RAIL,       2110,  81
SSP(2024).1, R12_PAO,  LDV,        2020,  54.5
SSP(2024).1, R12_PAO,  LDV,        2110,  70
SSP(2024).1, R12_PAO,  2W,         2020,  31
SSP(2024).1, R12_PAO,  2W,         2110,  31
SSP(2024).1, R12_PAO,  AIR,        2020, 270
SSP(2024).1, R12_PAO,  AIR,        2110, 200
SSP(2024).1, R12_PAO,  BUS,        2020,  19
SSP(2024).1, R12_PAO,  BUS,        2110,  42
SSP(2024).1, R12_PAO,  RAIL,       2020,  35
SSP(2024).1, R12_PAO,  RAIL,       2110,  81
SSP(2024).1, R12_PAS,  LDV,        2020,  54.5
SSP(2024).1, R12_PAS,  LDV,        2110,  70
SSP(2024).1, R12_PAS,  2W,         2020,  31
SSP(2024).1, R12_PAS,  2W,         2110,  31
SSP(2024).1, R12_PAS,  AIR,        2020, 270
SSP(2024).1, R12_PAS,  AIR,        2110, 200
SSP(2024).1, R12_PAS,  BUS,        2020,  19
SSP(2024).1, R12_PAS,  BUS,        2110,  42
SSP(2024).1, R12_PAS,  RAIL,       2020,  35
SSP(2024).1, R12_PAS,  RAIL,       2110,  81
SSP(2024).1, R12_RCPA, LDV,        2020,  54.5
SSP(2024).1, R12_RCPA, LDV,        2110,  70
SSP(2024).1, R12_RCPA, 2W,         2020,  31
SSP(2024).1, R12_RCPA, 2W,         2110,  31
SSP(2024).1, R12_RCPA, AIR,        2020, 270
SSP(2024).1, R12_RCPA, AIR,        2110, 200
SSP(2024).1, R12_RCPA, BUS,        2020,  19
SSP(2024).1, R12_RCPA, BUS,        2110,  42
SSP(2024).1, R12_RCPA, RAIL,       2020,  35
SSP(2024).1, R12_RCPA, RAIL,       2110,  81
SSP(2024).1, R12_SAS,  LDV,        2020,  54.5
SSP(2024).1, R12_SAS,  LDV,        2110,  70
SSP(2024).1, R12_SAS,  2W,         2020,  31
SSP(2024).1, R12_SAS,  2W,         2110,  31
SSP(2024).1, R12_SAS,  AIR,        2020, 270
SSP(2024).1, R12_SAS,  AIR,        2110, 200
SSP(2024).1, R12_SAS,  BUS,        2020,  19
SSP(2024).1, R12_SAS,  BUS,        2110,  42
SSP(2024).1, R12_SAS,  RAIL,       2020,  35
SSP(2024).1, R12_SAS,  RAIL,       2110,  81
SSP(2024).1, R12_WEU,  LDV,        2020,  54.5
SSP(2024).1, R12_WEU,  LDV,        2110,  70
SSP(2024).1, R12_WEU,  2W,         2020,  31
SSP(2024).1, R12_WEU,  2W,         2110,  31
SSP(2024).1, R12_WEU,  AIR,        2020, 270
SSP(2024).1, R12_WEU,  AIR,        2110, 200
SSP(2024).1, R12_WEU,  BUS,        2020,  19
SSP(2024).1, R12_WEU,  BUS,        2110,  42
SSP(2024).1, R12_WEU,  RAIL,       2020,  35
SSP(2024).1, R12_WEU,  RAIL,       2110,  81

SSP(2024).2, R12_AFR,  LDV,        2020,  54.5
SSP(2024).2, R12_AFR,  LDV,        2110,  70
SSP(2024).2, R12_AFR,  2W,         2020,  31
SSP(2024).2, R12_AFR,  2W,         2110,  31
SSP(2024).2, R12_AFR,  AIR,        2020, 270
SSP(2024).2, R12_AFR,  AIR,        2110, 300
SSP(2024).2, R12_AFR,  BUS,        2020,  19
SSP(2024).2, R12_AFR,  BUS,        2110,  32
SSP(2024).2, R12_AFR,  RAIL,       2020,  35
SSP(2024).2, R12_AFR,  RAIL,       2110,  58
SSP(2024).2, R12_CHN,  LDV,        2020,  54.5
SSP(2024).2, R12_CHN,  LDV,        2110,  70
SSP(2024).2, R12_CHN,  2W,         2020,  31
SSP(2024).2, R12_CHN,  2W,         2110,  31
SSP(2024).2, R12_CHN,  AIR,        2020, 270
SSP(2024).2, R12_CHN,  AIR,        2110, 300
SSP(2024).2, R12_CHN,  BUS,        2020,  19
SSP(2024).2, R12_CHN,  BUS,        2110,  32
SSP(2024).2, R12_CHN,  RAIL,       2020,  35
SSP(2024).2, R12_CHN,  RAIL,       2110,  58
SSP(2024).2, R12_EEU,  LDV,        2020,  54.5
SSP(2024).2, R12_EEU,  LDV,        2110,  70
SSP(2024).2, R12_EEU,  2W,         2020,  31
SSP(2024).2, R12_EEU,  2W,         2110,  31
SSP(2024).2, R12_EEU,  AIR,        2020, 270
SSP(2024).2, R12_EEU,  AIR,        2110, 300
SSP(2024).2, R12_EEU,  BUS,        2020,  19
SSP(2024).2, R12_EEU,  BUS,        2110,  32
SSP(2024).2, R12_EEU,  RAIL,       2020,  35
SSP(2024).2, R12_EEU,  RAIL,       2110,  58
SSP(2024).2, R12_FSU,  LDV,        2020,  54.5
SSP(2024).2, R12_FSU,  LDV,        2110,  70
SSP(2024).2, R12_FSU,  2W,         2020,  31
SSP(2024).2, R12_FSU,  2W,         2110,  31
SSP(2024).2, R12_FSU,  AIR,        2020, 270
SSP(2024).2, R12_FSU,  AIR,        2110, 300
SSP(2024).2, R12_FSU,  BUS,        2020,  19
SSP(2024).2, R12_FSU,  BUS,        2110,  32
SSP(2024).2, R12_FSU,  RAIL,       2020,  35
SSP(2024).2, R12_FSU,  RAIL,       2110,  58
SSP(2024).2, R12_LAM,  LDV,        2020,  54.5
SSP(2024).2, R12_LAM,  LDV,        2110,  70
SSP(2024).2, R12_LAM,  2W,         2020,  31
SSP(2024).2, R12_LAM,  2W,         2110,  31
SSP(2024).2, R12_LAM,  AIR,        2020, 270
SSP(2024).2, R12_LAM,  AIR,        2110, 300
SSP(2024).2, R12_LAM,  BUS,        2020,  19
SSP(2024).2, R12_LAM,  BUS,        2110,  32
SSP(2024).2, R12_LAM,  RAIL,       2020,  35
SSP(2024).2, R12_LAM,  RAIL,       2110,  58
SSP(2024).2, R12_MEA,  LDV,        2020,  54.5
SSP(2024).2, R12_MEA,  LDV,        2110,  70
SSP(2024).2, R12_MEA,  2W,         2020,  31
SSP(2024).2, R12_MEA,  2W,         2110,  31
SSP(2024).2, R12_MEA,  AIR,        2020, 270
SSP(2024).2, R12_MEA,  AIR,        2110, 300
SSP(2024).2, R12_MEA,  BUS,        2020,  19
SSP(2024).2, R12_MEA,  BUS,        2110,  32
SSP(2024).2, R12_MEA,  RAIL,       2020,  35
SSP(2024).2, R12_MEA,  RAIL,       2110,  58
SSP(2024).2, R12_NAM,  LDV,        2020,  54.5
SSP(2024).2, R12_NAM,  LDV,        2110,  70
SSP(2024).2, R12_NAM,  2W,         2020,  31
SSP(2024).2, R12_NAM,  2W,         2110,  31
SSP(2024).2, R12_NAM,  AIR,        2020, 270
SSP(2024).2, R12_NAM,  AIR,        2110, 300
SSP(2024).2, R12_NAM,  BUS,        2020,  19
SSP(2024).2, R12_NAM,  BUS,        2110,  32
SSP(2024).2, R12_NAM,  RAIL,       2020,  35
SSP(2024).2, R12_NAM,  RAIL,       2110,  58
SSP(2024).2, R12_PAO,  LDV,        2020,  54.5
SSP(2024).2, R12_PAO,  LDV,        2110,  70
SSP(2024).2, R12_PAO,  2W,         2020,  31
SSP(2024).2, R12_PAO,  2W,         2110,  31
SSP(2024).2, R12_PAO,  AIR,        2020, 270
SSP(2024).2, R12_PAO,  AIR,        2110, 300
SSP(2024).2, R12_PAO,  BUS,        2020,  19
SSP(2024).2, R12_PAO,  BUS,        2110,  32
SSP(2024).2, R12_PAO,  RAIL,       2020,  35
SSP(2024).2, R12_PAO,  RAIL,       2110,  58
SSP(2024).2, R12_PAS,  LDV,        2020,  54.5
SSP(2024).2, R12_PAS,  LDV,        2110,  70
SSP(2024).2, R12_PAS,  2W,         2020,  31
SSP(2024).2, R12_PAS,  2W,         2110,  31
SSP(2024).2, R12_PAS,  AIR,        2020, 270
SSP(2024).2, R12_PAS,  AIR,        2110, 300
SSP(2024).2, R12_PAS,  BUS,        2020,  19
SSP(2024).2, R12_PAS,  BUS,        2110,  32
SSP(2024).2, R12_PAS,  RAIL,       2020,  35
SSP(2024).2, R12_PAS,  RAIL,       2110,  58
SSP(2024).2, R12_RCPA, LDV,        2020,  54.5
SSP(2024).2, R12_RCPA, LDV,        2110,  70
SSP(2024).2, R12_RCPA, 2W,         2020,  31
SSP(2024).2, R12_RCPA, 2W,         2110,  31
SSP(2024).2, R12_RCPA, AIR,        2020, 270
SSP(2024).2, R12_RCPA, AIR,        2110, 300
SSP(2024).2, R12_RCPA, BUS,        2020,  19
SSP(2024).2, R12_RCPA, BUS,        2110,  32
SSP(2024).2, R12_RCPA, RAIL,       2020,  35
SSP(2024).2, R12_RCPA, RAIL,       2110,  58
SSP(2024).2, R12_SAS,  LDV,        2020,  54.5
SSP(2024).2, R12_SAS,  LDV,        2110,  70
SSP(2024).2, R12_SAS,  2W,         2020,  31
SSP(2024).2, R12_SAS,  2W,         2110,  31
SSP(2024).2, R12_SAS,  AIR,        2020, 270
SSP(2024).2, R12_SAS,  AIR,        2110, 300
SSP(2024).2, R12_SAS,  BUS,        2020,  19
SSP(2024).2, R12_SAS,  BUS,        2110,  32
SSP(2024).2, R12_SAS,  RAIL,       2020,  35
SSP(2024).2, R12_SAS,  RAIL,       2110,  58
SSP(2024).2, R12_WEU,  LDV,        2020,  54.5
SSP(2024).2, R12_WEU,  LDV,        2110,  70
SSP(2024).2, R12_WEU,  2W,         2020,  31
SSP(2024).2, R12_WEU,  2W,         2110,  31
SSP(2024).2, R12_WEU,  AIR,        2020, 270
SSP(2024).2, R12_WEU,  AIR,        2110, 300
SSP(2024).2, R12_WEU,  BUS,        2020,  19
SSP(2024).2, R12_WEU,  BUS,        2110,  32
SSP(2024).2, R12_WEU,  RAIL,       2020,  35
SSP(2024).2, R12_WEU,  RAIL,       2110,  58

SSP(2024).3, R12_AFR,  LDV,        2020,  54.5
SSP(2024).3, R12_AFR,  LDV,        2110,  70
SSP(2024).3, R12_AFR,  2W,         2020,  31
SSP(2024).3, R12_AFR,  2W,         2110,  31
SSP(2024).3, R12_AFR,  AIR,        2020, 270
SSP(2024).3, R12_AFR,  AIR,        2110, 200
SSP(2024).3, R12_AFR,  BUS,        2020,  19
SSP(2024).3, R12_AFR,  BUS,        2110,  32
SSP(2024).3, R12_AFR,  RAIL,       2020,  35
SSP(2024).3, R12_AFR,  RAIL,       2110,  58
SSP(2024).3, R12_CHN,  LDV,        2020,  54.5
SSP(2024).3, R12_CHN,  LDV,        2110,  70
SSP(2024).3, R12_CHN,  2W,         2020,  31
SSP(2024).3, R12_CHN,  2W,         2110,  31
SSP(2024).3, R12_CHN,  AIR,        2020, 270
SSP(2024).3, R12_CHN,  AIR,        2110, 200
SSP(2024).3, R12_CHN,  BUS,        2020,  19
SSP(2024).3, R12_CHN,  BUS,        2110,  32
SSP(2024).3, R12_CHN,  RAIL,       2020,  35
SSP(2024).3, R12_CHN,  RAIL,       2110,  58
SSP(2024).3, R12_EEU,  LDV,        2020,  54.5
SSP(2024).3, R12_EEU,  LDV,        2110,  70
SSP(2024).3, R12_EEU,  2W,         2020,  31
SSP(2024).3, R12_EEU,  2W,         2110,  31
SSP(2024).3, R12_EEU,  AIR,        2020, 270
SSP(2024).3, R12_EEU,  AIR,        2110, 200
SSP(2024).3, R12_EEU,  BUS,        2020,  19
SSP(2024).3, R12_EEU,  BUS,        2110,  32
SSP(2024).3, R12_EEU,  RAIL,       2020,  35
SSP(2024).3, R12_EEU,  RAIL,       2110,  58
SSP(2024).3, R12_FSU,  LDV,        2020,  54.5
SSP(2024).3, R12_FSU,  LDV,        2110,  70
SSP(2024).3, R12_FSU,  2W,         2020,  31
SSP(2024).3, R12_FSU,  2W,         2110,  31
SSP(2024).3, R12_FSU,  AIR,        2020, 270
SSP(2024).3, R12_FSU,  AIR,        2110, 200
SSP(2024).3, R12_FSU,  BUS,        2020,  19
SSP(2024).3, R12_FSU,  BUS,        2110,  32
SSP(2024).3, R12_FSU,  RAIL,       2020,  35
SSP(2024).3, R12_FSU,  RAIL,       2110,  58
SSP(2024).3, R12_LAM,  LDV,        2020,  54.5
SSP(2024).3, R12_LAM,  LDV,        2110,  70
SSP(2024).3, R12_LAM,  2W,         2020,  31
SSP(2024).3, R12_LAM,  2W,         2110,  31
SSP(2024).3, R12_LAM,  AIR,        2020, 270
SSP(2024).3, R12_LAM,  AIR,        2110, 200
SSP(2024).3, R12_LAM,  BUS,        2020,  19
SSP(2024).3, R12_LAM,  BUS,        2110,  32
SSP(2024).3, R12_LAM,  RAIL,       2020,  35
SSP(2024).3, R12_LAM,  RAIL,       2110,  58
SSP(2024).3, R12_MEA,  LDV,        2020,  54.5
SSP(2024).3, R12_MEA,  LDV,        2110,  70
SSP(2024).3, R12_MEA,  2W,         2020,  31
SSP(2024).3, R12_MEA,  2W,         2110,  31
SSP(2024).3, R12_MEA,  AIR,        2020, 270
SSP(2024).3, R12_MEA,  AIR,        2110, 200
SSP(2024).3, R12_MEA,  BUS,        2020,  19
SSP(2024).3, R12_MEA,  BUS,        2110,  32
SSP(2024).3, R12_MEA,  RAIL,       2020,  35
SSP(2024).3, R12_MEA,  RAIL,       2110,  58
SSP(2024).3, R12_NAM,  LDV,        2020,  54.5
SSP(2024).3, R12_NAM,  LDV,        2110,  70
SSP(2024).3, R12_NAM,  2W,         2020,  31
SSP(2024).3, R12_NAM,  2W,         2110,  31
SSP(2024).3, R12_NAM,  AIR,        2020, 270
SSP(2024).3, R12_NAM,  AIR,        2110, 200
SSP(2024).3, R12_NAM,  BUS,        2020,  19
SSP(2024).3, R12_NAM,  BUS,        2110,  32
SSP(2024).3, R12_NAM,  RAIL,       2020,  35
SSP(2024).3, R12_NAM,  RAIL,       2110,  58
SSP(2024).3, R12_PAO,  LDV,        2020,  54.5
SSP(2024).3, R12_PAO,  LDV,        2110,  70
SSP(2024).3, R12_PAO,  2W,         2020,  31
SSP(2024).3, R12_PAO,  2W,         2110,  31
SSP(2024).3, R12_PAO,  AIR,        2020, 270
SSP(2024).3, R12_PAO,  AIR,        2110, 200
SSP(2024).3, R12_PAO,  BUS,        2020,  19
SSP(2024).3, R12_PAO,  BUS,        2110,  32
SSP(2024).3, R12_PAO,  RAIL,       2020,  35
SSP(2024).3, R12_PAO,  RAIL,       2110,  58
SSP(2024).3, R12_PAS,  LDV,        2020,  54.5
SSP(2024).3, R12_PAS,  LDV,        2110,  70
SSP(2024).3, R12_PAS,  2W,         2020,  31
SSP(2024).3, R12_PAS,  2W,         2110,  31
SSP(2024).3, R12_PAS,  AIR,        2020, 270
SSP(2024).3, R12_PAS,  AIR,        2110, 200
SSP(2024).3, R12_PAS,  BUS,        2020,  19
SSP(2024).3, R12_PAS,  BUS,        2110,  32
SSP(2024).3, R12_PAS,  RAIL,       2020,  35
SSP(2024).3, R12_PAS,  RAIL,       2110,  58
SSP(2024).3, R12_RCPA, LDV,        2020,  54.5
SSP(2024).3, R12_RCPA, LDV,        2110,  70
SSP(2024).3, R12_RCPA, 2W,         2020,  31
SSP(2024).3, R12_RCPA, 2W,         2110,  31
SSP(2024).3, R12_RCPA, AIR,        2020, 270
SSP(2024).3, R12_RCPA, AIR,        2110, 200
SSP(2024).3, R12_RCPA, BUS,        2020,  19
SSP(2024).3, R12_RCPA, BUS,        2110,  32
SSP(2024).3, R12_RCPA, RAIL,       2020,  35
SSP(2024).3, R12_RCPA, RAIL,       2110,  58
SSP(2024).3, R12_SAS,  LDV,        2020,  54.5
SSP(2024).3, R12_SAS,  LDV,        2110,  70
SSP(2024).3, R12_SAS,  2W,         2020,  31
SSP(2024).3, R12_SAS,  2W,         2110,  31
SSP(2024).3, R12_SAS,  AIR,        2020, 270
SSP(2024).3, R12_SAS,  AIR,        2110, 200
SSP(2024).3, R12_SAS,  BUS,        2020,  19
SSP(2024).3, R12_SAS,  BUS,        2110,  32
SSP(2024).3, R12_SAS,  RAIL,       2020,  35
SSP(2024).3, R12_SAS,  RAIL,       2110,  58
SSP(2024).3, R12_WEU,  LDV,        2020,  54.5
SSP(2024).3, R12_WEU,  LDV,        2110,  70
SSP(2024).3, R12_WEU,  2W,         2020,  31
SSP(2024).3, R12_WEU,  2W,         2110,  31
SSP(2024).3, R12_WEU,  AIR,        2020, 270
SSP(2024).3, R12_WEU,  AIR,        2110, 200
SSP(2024).3, R12_WEU,  BUS,        2020,  19
SSP(2024).3, R12_WEU,  BUS,        2110,  32
SSP(2024).3, R12_WEU,  RAIL,       2020,  35
SSP(2024).3, R12_WEU,  RAIL,       2110,  58

SSP(2024).4, R12_AFR,  LDV,        2020,  54.5
SSP(2024).4, R12_AFR,  LDV,        2110,  70
SSP(2024).4, R12_AFR,  2W,         2020,  31
SSP(2024).4, R12_AFR,  2W,         2110,  31
SSP(2024).4, R12_AFR,  AIR,        2020, 270
SSP(2024).4, R12_AFR,  AIR,        2110, 300
SSP(2024).4, R12_AFR,  BUS,        2020,  19
