# “Elasticity” of PDT-capita with respect to GDP
#
# - The code that handles this file interpolates on the ‘year’
#   dimension.
#
# Units: dimensionless
#
scenario,    node,     year, value
SSP(2024).3, R12_CHN,  2110, 1
SSP(2024).3, R12_EEU,  2020, 1.0
SSP(2024).3, R12_EEU,  2110, 1
SSP(2024).3, R12_FSU,  2020, 1.0
SSP(2024).3, R12_FSU,  2110, 1
SSP(2024).3, R12_LAM,  2020, 1.0
SSP(2024).3, R12_LAM,  2040, 1.25
SSP(2024).3, R12_LAM,  2110, 1.25
SSP(2024).3, R12_MEA,  2020, 1.0
SSP(2024).3, R12_MEA,  2040, 1.25
SSP(2024).3, R12_MEA,  2110, 1.25
SSP(2024).3, R12_NAM,  2020, 1.0
SSP(2024).3, R12_NAM,  2040, 1
SSP(2024).3, R12_NAM,  2110, 1
SSP(2024).3, R12_PAO,  2020, 1.0
SSP(2024).3, R12_PAO,  2040, 1.0
SSP(2024).3, R12_PAO,  2110, 1.0
SSP(2024).3, R12_PAS,  2020, 1.0
SSP(2024).3, R12_PAS,  2110, 1.0
SSP(2024).3, R12_RCPA, 2020, 1.0
SSP(2024).3, R12_RCPA, 2040, 1.25
SSP(2024).3, R12_RCPA, 2110, 1.25
SSP(2024).3, R12_SAS,  2020, 1.0
SSP(2024).3, R12_SAS,  2040, 1.25
SSP(2024).3, R12_SAS,  2110, 1.25
SSP(2024).3, R12_WEU,  2020, 1.0
SSP(2024).3, R12_WEU,  2040, 1.0
SSP(2024).3, R12_WEU,  2110, 1.0

SSP(2024).4, R12_AFR,  2020, 1.0
SSP(2024).4, R12_AFR,  2110, 1.0
SSP(2024).4, R12_CHN,  2020, 0.9
SSP(2024).4, R12_CHN,  2110, 0.9
SSP(2024).4, R12_EEU,  2020, 0.9
SSP(2024).4, R12_EEU,  2110, 0.9
SSP(2024).4, R12_FSU,  2020, 0.9
SSP(2024).4, R12_FSU,  2110, 0.9
SSP(2024).4, R12_LAM,  2020, 0.9
SSP(2024).4, R12_LAM,  2110, 0.9
SSP(2024).4, R12_MEA,  2020, 0.9
SSP(2024).4, R12_MEA,  2110, 0.9
SSP(2024).4, R12_NAM,  2020, 0.8
SSP(2024).4, R12_NAM,  2110, 0.8
SSP(2024).4, R12_PAO,  2020, 0.8
SSP(2024).4, R12_PAO,  2110, 0.8
SSP(2024).4, R12_PAS,  2020, 0.9
SSP(2024).4, R12_PAS,  2110, 0.9
SSP(2024).4, R12_RCPA, 2020, 0.9
SSP(2024).4, R12_RCPA, 2110, 0.9
SSP(2024).4, R12_SAS,  2020, 1.0
SSP(2024).4, R12_SAS,  2110, 1.0
SSP(2024).4, R12_WEU,  2020, 0.8
SSP(2024).4, R12_WEU,  2110, 0.8

SSP(2024).5, R12_AFR,  2020, 1.0
SSP(2024).5, R12_AFR,  2110, 1.0
SSP(2024).5, R12_CHN,  2020, 1.0
SSP(2024).5, R12_CHN,  2110, 1.0
SSP(2024).5, R12_EEU,  2020, 1.0
SSP(2024).5, R12_EEU,  2110, 1.0
SSP(2024).5, R12_FSU,  2020, 1.0
SSP(2024).5, R12_FSU,  2110, 1.0
SSP(2024).5, R12_LAM,  2020, 1.0
SSP(2024).5, R12_LAM,  2110, 1.0
SSP(2024).5, R12_MEA,  2020, 1.0
SSP(2024).5, R12_MEA,  2110, 1.0
SSP(2024).5, R12_NAM,  2020, 1.0
SSP(2024).5, R12_NAM,  2110, 1.0
SSP(2024).5, R12_PAO,  2020, 1.0
SSP(2024).5, R12_PAO,  2110, 1.0
SSP(2024).5, R12_PAS,  2020, 1.0
SSP(2024).5, R12_PAS,  2110, 1.0
SSP(2024).5, R12_RCPA, 2020, 1.0
SSP(2024).5, R12_RCPA, 2110, 1.0
SSP(2024).5, R12_SAS,  2020, 1.0
SSP(2024).5, R12_SAS,  2110, 1.0
SSP(2024).5, R12_WEU,  2020, 1.0
SSP(2024).5, R12_WEU,  2110, 1.0
